iter	Passed	Remaining
0	1	103
1	1	94
2	2	89
3	3	84
4	4	85
5	5	85
6	6	84
7	7	84
8	8	84
9	9	83
10	10	82
11	11	82
12	12	81
13	13	80
14	14	79
15	15	79
16	16	78
17	17	77
18	17	76
19	19	76
20	19	75
21	20	74
22	22	73
23	23	73
24	24	72
25	25	72
26	26	71
27	27	70
28	28	69
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	51	47
52	52	46
53	53	45
54	53	43
55	54	43
56	55	42
57	56	41
58	58	40
59	58	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
